z-score,corr thresholds,corr priority,total sr,out-sample sr,in-sample sr
1.0,"(0.9, 0.8)",MAX CORR,-0.697655,-1.655122,0.722287
1.0,"(0.9, 0.8)",MIN CORR,-0.839883,-1.872885,0.677174
1.0,"(0.95, 0.9)",MAX CORR,-0.569846,-1.083777,0.118578
1.0,"(0.95, 0.9)",MIN CORR,-0.910279,-1.356751,-0.222863
1.5,"(0.9, 0.8)",MAX CORR,0.67182,-0.769299,2.676552
1.5,"(0.9, 0.8)",MIN CORR,0.11769,-1.291805,2.006957
1.5,"(0.95, 0.9)",MAX CORR,0.057921,-0.867482,1.295336
1.5,"(0.95, 0.9)",MIN CORR,-0.183662,-0.86856,0.787809
2.0,"(0.9, 0.8)",MAX CORR,-0.073871,-1.333163,1.605784
2.0,"(0.9, 0.8)",MIN CORR,0.119271,-1.624664,2.325721
2.0,"(0.95, 0.9)",MAX CORR,0.324721,-0.573805,1.392854
2.0,"(0.95, 0.9)",MIN CORR,0.653827,-0.140204,1.624076
2.5,"(0.9, 0.8)",MAX CORR,0.156169,-1.22571,2.117413
2.5,"(0.9, 0.8)",MIN CORR,0.334605,-1.193888,2.222129
2.5,"(0.95, 0.9)",MAX CORR,0.172363,-0.466989,0.874054
2.5,"(0.95, 0.9)",MIN CORR,0.378919,-0.070759,0.970634
3.0,"(0.9, 0.8)",MAX CORR,-0.092973,-0.785021,0.759084
3.0,"(0.9, 0.8)",MIN CORR,0.305805,-0.326284,0.977505
3.0,"(0.95, 0.9)",MIN CORR,0.419067,0.513303,0.2928
3.0,"(0.95, 0.9)",MAX CORR,0.238137,0.021335,0.504452
